code_str3,name,gdp_2018_wb,exp_MTC_usd,imp_MTC_usd,tot_MTC_usd,exp_MTC_per_gdp_pct,imp_MTC_per_gdp_pct,tot_MTC_per_gdp_pct,exp_com_tot_usd,imp_com_tot_usd,tot_com_usd,exp_com_tot_usd_per_gdp_pct,imp_com_tot_usd_per_gdp_pct,tot_com_tot_usd_per_gdp_pct
380,Italy,2091932426266.94,465628585.8057933,1184484849.6823294,1417299142.585226,0.011,0.028,0.039,49520400.22380934,114631373.72945175,139391573.84135643,0.001,0.003,0.004
854,Burkina Faso,15890066209.8959,854008.5328095697,10712179.699390663,11139183.965795448,0.003,0.034,0.037000000000000005,89430.16414303405,1134665.1301562001,1179380.2122277173,0.0,0.004,0.004
646,Rwanda,9636510839.30707,155883.6271702101,7414383.7984901,7492325.612075205,0.001,0.038,0.039,8258.73984739668,720803.858791963,724933.2287156613,0.0,0.004,0.004
070,Bosnia and Herzegovina,20484048415.5019,20241329.65442628,13372426.426587177,23493091.253800318,0.049,0.033,0.082,940266.8964198707,640465.7835609252,1110599.2317708605,0.002,0.002,0.004
246,Finland,275708001767.838,89819329.45322193,127572589.58853376,172482254.31514472,0.016,0.023,0.039,9704588.365549902,12456788.350332042,17309082.533106994,0.002,0.002,0.004
100,Bulgaria,66399602077.1693,35579320.783993326,39486254.675353095,57275915.06734976,0.027,0.03,0.056999999999999995,3140909.0442736237,2578272.771430166,4148727.2935669776,0.002,0.002,0.004
703,Slovakia,106137924015.591,78638954.3844754,47044967.38408503,86364444.57632273,0.037,0.022,0.059,4160643.218487643,3529952.181325083,5610273.790568905,0.002,0.002,0.004
840,United States of America,20533057312000.0,4158204484.980229,4430117304.820721,6509219547.310835,0.01,0.011,0.020999999999999998,594958869.6361316,633702311.5896891,931181746.4077549,0.001,0.002,0.003
834,"Tanzania, United Republic of",57003686049.4102,2709824.9416939453,32618590.878168844,33973503.34901582,0.002,0.029,0.031,346454.5694157157,3547842.1087683393,3721069.393476197,0.0,0.003,0.003
716,Zimbabwe,34156069918.0609,3758849.006028805,8090633.962541572,9970058.465555973,0.006,0.012,0.018000000000000002,537297.6591195867,1032371.1667923161,1301019.9963521096,0.001,0.002,0.003
800,Uganda,32927025621.3848,1977776.3726746144,17580063.105062462,18568951.29139977,0.003,0.027,0.03,101896.17974883896,1867079.7264729405,1918027.81634736,0.0,0.003,0.003
752,Sweden,555455371487.089,223288035.2495458,152458492.82086164,264102510.44563454,0.02,0.014,0.034,18079162.302376255,12493771.206727626,21533352.35791575,0.002,0.001,0.003
004,Afghanistan,18418860354.4238,564781.366016022,13667697.701489676,13950088.384497687,0.002,0.037,0.039,51957.828130627226,1240751.5597407252,1266730.4738060387,0.0,0.003,0.003
616,Poland,588779850763.487,207247866.9316464,229291504.90611824,332915438.37194145,0.018,0.019,0.037,18333179.277736265,17099025.860175967,26265615.499044098,0.002,0.001,0.003
426,Lesotho,2556247155.56945,93425.91022332115,1638975.1583726625,1685688.113484323,0.002,0.032,0.034,16637.693596571273,168062.14991626493,176380.99671455057,0.0,0.003,0.003
108,Burundi,2667182198.97925,84399.97626332169,1794975.8666047663,1837175.854736427,0.002,0.034,0.036000000000000004,4270.315281638786,172814.616788209,174949.7744290284,0.0,0.003,0.003
120,Cameroon,39973842058.565,10230749.133845463,18612664.507119536,23728039.074042268,0.013,0.023,0.036,1058443.3845816264,1593314.8932543073,2122536.5855451208,0.001,0.002,0.003
203,Czechia,249000540729.179,77008162.60465638,110399859.305527,148903940.6078552,0.015,0.022,0.037,5688900.040211261,8442528.1727809,11286978.19288653,0.001,0.002,0.003
250,France,2790956878746.61,330751202.07440555,1060819054.2187591,1226194655.255962,0.006,0.019,0.025,32618812.6619662,105023656.2188259,121333062.54980901,0.001,0.002,0.003
268,Georgia,17596922469.9152,3112837.8742189906,14367414.278872922,15923833.215982417,0.009,0.041,0.05,211002.99139907392,754623.6783866949,860125.1740862319,0.001,0.002,0.003
276,Germany,3974443355019.53,736561617.3998914,1354053733.5574105,1722334542.2573562,0.009,0.017,0.026000000000000002,81256460.44069275,140719440.13252547,181347670.35287184,0.001,0.002,0.003
348,Hungary,160565642983.587,76981155.45897026,76657941.7486689,115148519.47815403,0.024,0.024,0.048,5180147.282809921,4158883.7057652175,6748957.347170178,0.002,0.001,0.003
376,Israel,376691526553.276,86726470.9029536,177397400.0384376,220760635.48991442,0.012,0.024,0.036000000000000004,8900375.329918029,18581944.402129915,23032132.067088928,0.001,0.002,0.003
404,Kenya,92202979940.671,7789703.147840769,54984722.06028795,58879573.63420834,0.004,0.03,0.034,720656.610484455,6448365.95518468,6808694.260426908,0.0,0.003,0.003
