gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
55284309690.2698,446,"China, Macao SAR",171639017.317,107435674.536,171639017.317,107435674.536,4.5406812008957775,346.36185448177594,621461.768361949,579655.8693228068,529112.3240035033,509289.96563537617,621461.768361949,647383.3213077623,774425.040363248,840549.5341088077,100.0,100.0,0.0,67727.45198495546,245312.71635974466,331259.5684734315,0.00112,0.00105,0.00096,0.00092,0.00112,0.00117,0.0014,0.00152,0.0,0.00012,0.00044,0.0006
13760033282.6071,450,Madagascar,124852278.10000001,147742606.986,124852278.10000001,147742606.986,60.79041131368776,4693.73659216434,3195518.0917889643,3096120.365508259,2733332.40907461,2654446.798983175,3195518.0917889643,3511866.8128193677,4443789.531823668,4752986.476889487,100.0,100.0,0.0,415746.44731110893,1710457.1227490576,2098539.6779063125,0.02322,0.0225,0.01986,0.01929,0.02322,0.02552,0.03229,0.03454,0.0,0.00302,0.01243,0.01525
9880675785.93057,454,Malawi,48082658.609,32621596.992,48082658.609,32621596.992,21.500790861329147,1662.616581783572,1020079.9447562882,1007242.2109171554,859738.992578604,824984.0869638855,1020079.9447562882,1135202.1070127615,1366306.34016458,1441421.831943538,100.0,100.0,0.0,127959.89609560615,506567.3475859759,616437.7449796526,0.01032,0.01019,0.0087,0.00835,0.01032,0.01149,0.01383,0.01459,0.0,0.0013,0.00513,0.00624
358788833524.945,458,Malaysia,178276524835.641,96077505637.93399,178276524835.641,96077505637.93399,36114.798397820894,2789339.332440936,1451900933.8679993,1393982665.4728312,1246429226.612673,1198816053.5397663,1451900933.8679993,1597033412.8740633,2008456553.5648882,2112576413.8288822,100.0,100.0,0.0,203050747.401232,762027326.9522152,913760360.2891159,0.40467,0.38852,0.3474,0.33413,0.40467,0.44512,0.55979,0.58881,0.0,0.05659,0.21239,0.25468
5300949822.99805,462,Maldives,152363163.27199998,119578388.766,152363163.27199998,119578388.766,20.90220521347838,1600.7703586255416,925152.358871824,905091.1028821573,815683.4579541319,805374.5945684316,925152.358871824,1013585.220009335,1226971.3001293812,1318508.6567163349,100.0,100.0,0.0,108494.11712717765,411287.84217524936,513134.06214790326,0.01745,0.01707,0.01539,0.01519,0.01745,0.01912,0.02315,0.02487,0.0,0.00205,0.00776,0.00968
17070867577.6666,466,Mali,97061390.959,77169258.777,97061390.959,77169258.77700001,21.469898580144985,1660.757283985111,774176.3569518928,730890.054226367,666142.4200279348,631669.9252100444,774176.3569518928,883346.429960853,1180066.7974874068,1236958.7853529241,100.0,100.0,0.0,152456.37573448592,513924.3774594719,605288.8601428798,0.00454,0.00428,0.0039,0.0037,0.00454,0.00517,0.00691,0.00725,0.0,0.00089,0.00301,0.00355
15298004130.4975,470,Malta,2119003510.8839998,1516690995.427,2119003510.8839998,1516690995.427,647.7205348216729,50004.739247930294,25209785.659074347,24994101.88221288,21334513.38958661,20654898.57264875,25209785.659074347,28144250.009643495,33821003.92716621,35764969.44546867,100.0,100.0,0.0,3150148.127430614,12486490.5375796,15110070.872819923,0.16479,0.16338,0.13946,0.13502,0.16479,0.18397,0.22108,0.23379,0.0,0.02059,0.08162,0.09877
7473550557.07378,478,Mauritania,598377908.1159999,576352238.6669999,598377908.1159999,576352238.6669999,181.8692179540818,14058.881918608944,7513944.737824532,7322696.752739599,6296164.79490132,6058220.017939534,7513944.737824532,8523898.942044683,10472771.155623311,11051648.899202697,100.0,100.0,0.0,1201202.1893050838,4176606.3607219914,4993428.881263163,0.10054,0.09798,0.08425,0.08106,0.10054,0.11405,0.14013,0.14788,0.0,0.01607,0.05589,0.06681
14735695930.9727,480,Mauritius,648482294.561,719267979.929,648482294.561,719267979.929,232.52170758660105,17906.59262549004,7768105.808173675,7442616.142931928,6661027.151666684,6445287.282473355,7768105.808173675,8719587.769311495,11029291.26539494,11598400.45928332,100.0,100.0,0.0,1276971.6263795672,4368264.113728255,5153113.176809966,0.05272,0.05051,0.0452,0.04374,0.05272,0.05917,0.07485,0.07871,0.0,0.00867,0.02964,0.03497
1222405556421.13,484,Mexico,82916962045.58398,166021417702.075,82916962045.58398,166021417702.075,29725.183504729834,2292871.116303632,1355430577.7785223,1328030246.8297062,1186034046.3358457,1167366226.8669035,1355430577.7785223,1501489318.7403018,1854826255.2981493,1961258508.264302,100.0,100.0,0.0,173459071.91059566,668792208.9623036,793892281.3973985,0.11088,0.10864,0.09702,0.0955,0.11088,0.12283,0.15174,0.16044,0.0,0.01419,0.05471,0.06495
13178094719.8612,496,Mongolia,1121909125.123,426889653.93700004,1121909125.123,426889653.93700004,81.48717789493972,6295.605129721257,3434348.265835217,3431138.0177621804,2915194.79216478,2812059.518494871,3434348.265835217,3898451.358050236,4610674.327046375,4847769.712977214,100.0,100.0,0.0,467313.3402880556,1695479.5348815946,2035710.1944823428,0.02606,0.02604,0.02212,0.02134,0.02606,0.02958,0.03499,0.03679,0.0,0.00355,0.01287,0.01545
