gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
1615478421.45974,090,Solomon Islands,2616090288.3069997,243214148.08900002,2616090288.3069997,243214148.08900002,1033.1763563298043,79908.91461971047,59857537.61379166,57448710.29987357,51007123.89135759,49580292.108572334,59857537.61379166,61545953.477393255,77725706.63319518,83035676.97723801,100.0,100.0,0.0,4097243.1775196865,26718582.741837583,33455384.86866568,3.70525,3.55614,3.1574,3.06908,3.70525,3.80977,4.81131,5.14001,0.0,0.25362,1.65391,2.07093
13567164444.9707,096,Brunei Darussalam,3833892262.636,2377520068.31,3833892262.636,2377520068.31,886.863488018091,68247.98091453475,40170513.77226544,38553174.59412938,35141126.06708136,34107382.076069206,40170513.77226544,43988494.20410647,56317067.44341874,60173998.59199913,100.0,100.0,0.0,5435319.609977089,21175941.37633738,26066616.515929922,0.29609,0.28417,0.25902,0.2514,0.29609,0.32423,0.4151,0.44353,0.0,0.04006,0.15608,0.19213
66399602077.1693,100,Bulgaria,6525390045.881,5263733180.216001,6525390045.881,5263733180.216001,1190.1441145371577,90825.04178176922,45444428.31498474,43795957.12020137,40161924.28855769,39661544.42020944,45444428.31498474,50038070.95893847,61370242.011171006,65722968.88266399,100.0,100.0,0.0,6242113.8387371,21208317.722613312,26061424.46245455,0.06844,0.06596,0.06049,0.05973,0.06844,0.07536,0.09243,0.09898,0.0,0.0094,0.03194,0.03925
67144726167.9294,104,Myanmar,15784079010.571999,11143916965.423,15784079010.571999,11143916965.423,6350.446988113948,488489.98874698306,317711947.74782735,307655216.8176403,277425109.86819774,271026440.05041915,317711947.74782735,348264281.22202814,432545208.9309984,462456025.6065673,100.0,100.0,0.0,40609064.40438783,155120099.06280065,191429585.55614817,0.47317,0.4582,0.41317,0.40365,0.47317,0.51868,0.6442,0.68875,0.0,0.06048,0.23102,0.2851
2667182198.97925,108,Burundi,245572493.30600002,162101974.657,245572493.306,162101974.657,87.42962601124634,6766.538050677781,4336245.728190416,4299696.64454292,3911797.759988359,3854094.5240389826,4336245.728190416,4757608.608078325,5883787.897006233,6189616.3891740795,100.0,100.0,0.0,457911.96353540476,1971990.137017874,2335521.865135097,0.16258,0.16121,0.14666,0.1445,0.16258,0.17838,0.2206,0.23207,0.0,0.01717,0.07394,0.08757
60031163987.191,112,Belarus,38832814837.865,14740973718.178,38832814837.865,14740973718.178,4708.366530240073,355436.1179434113,164367826.25550902,159774774.11454883,140829923.42423227,136070576.82984447,164367826.25550902,176657397.83500612,216462183.15455756,229116552.72305924,100.0,100.0,0.0,16882623.720457286,75632259.73032528,93045975.89321476,0.2738,0.26615,0.23459,0.22667,0.2738,0.29428,0.36058,0.38166,0.0,0.02812,0.12599,0.155
24571753581.7841,116,Cambodia,3118929860.972,3566707301.315,3118929860.972,3566707301.315,741.0400730887474,56958.03758696948,31908229.703892935,31022889.914990637,27762696.54582183,27250563.691915702,31908229.703892935,35435274.1158983,43665055.00176733,46504341.13081816,100.0,100.0,0.0,4412384.200907666,15902358.4559455,19253777.438902456,0.12986,0.12625,0.11299,0.1109,0.12986,0.14421,0.1777,0.18926,0.0,0.01796,0.06472,0.07836
39973842058.565,120,Cameroon,1876227135.496,1012971278.289,1876227135.496,1012971278.289,682.4440546369696,52559.03592240772,27159213.284218192,27014876.03089799,22980447.46973924,22869226.478906393,27159213.284218192,30252911.412466917,35841402.75451564,38768290.39329133,100.0,100.0,0.0,3238035.3815689273,12860955.2847764,15899063.914384939,0.06794,0.06758,0.05749,0.05721,0.06794,0.07568,0.08966,0.09698,0.0,0.0081,0.03217,0.03977
2205099509.15921,132,Cabo Verde,617851002.001,343684054.851,617851002.001,343684054.851,297.5094795013295,22873.349176528198,10224514.669615129,9555554.686950259,8983032.483502995,8640333.786095684,10224514.669615129,11129962.876334578,14818206.739856923,15627060.412483336,100.0,100.0,0.0,1574408.189384319,5835174.256353928,6986726.626387652,0.46368,0.43334,0.40738,0.39183,0.46368,0.50474,0.672,0.70868,0.0,0.0714,0.26462,0.31684
5530178498.90783,136,Cayman Islands,73184859.59,183821737.65,73184859.59,183821737.65,19.135907579237013,1461.4236932364715,787043.2845741949,736638.1839987495,706491.6042762867,693228.2776749256,787043.2845741949,866364.9767219636,1113301.354862776,1167032.1326498196,100.0,100.0,0.0,129726.79272321414,406809.7505864892,473803.85497489397,0.01423,0.01332,0.01278,0.01254,0.01423,0.01567,0.02013,0.0211,0.0,0.00235,0.00736,0.00857
2220979144.52008,140,Central African Republic,42135648.346,34604836.159,42135648.34599999,34604836.159,10.233061537469323,790.0492130322658,388622.1600412517,369190.66343876865,326688.38307866175,318612.0464955747,388622.1600412517,431166.153289264,547030.3783928689,582145.0251332275,100.0,100.0,0.0,61975.48985049536,220341.99531420716,263532.97863765276,0.0175,0.01662,0.01471,0.01435,0.0175,0.01941,0.02463,0.02621,0.0,0.00279,0.00992,0.01187
94493871351.4217,144,Sri Lanka,14114208847.93,7740384630.198,14114208847.93,7740384630.198,3617.7898215890928,279717.849281125,164361281.892774,161173493.35025626,141939528.5791982,139247057.55952698,164361281.892774,181473060.01581514,222972541.86966667,237003779.59326735,100.0,100.0,0.0,20299566.665558875,81033013.29046845,97756722.03374037,0.17394,0.17057,0.15021,0.14736,0.17394,0.19205,0.23597,0.25081,0.0,0.02148,0.08575,0.10345
295402646018.151,152,Chile,29710660557.226997,20831565979.952,29710660557.226997,20831565979.952,19488.404026117132,1507104.2443714032,847935510.3772177,815132065.4337845,727168236.4578166,702126445.7299489,847935510.3772177,923725889.9627359,1160706320.8781178,1218909883.100862,100.0,100.0,0.0,108593824.5289514,433538084.4203012,516783437.37091315,0.28704,0.27594,0.24616,0.23768,0.28704,0.3127,0.39292,0.41263,0.0,0.03676,0.14676,0.17494
13894907485398.9,156,China,774336738330.052,490722268753.185,774336738330.052,490722268753.185,340968.153945734,26350979.05914006,14334947625.747198,14016848668.86042,12333623171.637217,11896617505.63537,14334947625.747198,16029201306.686565,19780840350.66867,20837379212.634598,100.0,100.0,0.0,2012352637.8261452,7447217179.031454,8940761706.999228,0.10317,0.10088,0.08876,0.08562,0.10317,0.11536,0.14236,0.14996,0.0,0.01448,0.0536,0.06435
334198218100.716,170,Colombia,1391483907.023,4493253004.413,1391483907.023,4493253004.413,562.1815095691466,43478.861591674955,20841643.39966841,19688357.71712366,18422410.03829589,17875560.537591755,20841643.39966841,23257552.94862867,30632760.821118534,32095151.193831082,100.0,100.0,0.0,3569195.2315050103,12210350.782822642,14219590.656239327,0.00624,0.00589,0.00551,0.00535,0.00624,0.00696,0.00917,0.0096,0.0,0.00107,0.00365,0.00425
1188797449.96036,174,Comoros,190851724.723,46820606.9,190851724.723,46820606.9,59.46403531971232,4598.133056729329,2527044.931142712,2535913.896584091,2126208.0507350895,2058930.3834188445,2527044.931142712,2776798.0653994996,3222702.4024093053,3430864.6414490407,100.0,100.0,0.0,240884.16881540883,1096494.3516742159,1371934.2580301962,0.21257,0.21332,0.17885,0.17319,0.21257,0.23358,0.27109,0.2886,0.0,0.02026,0.09224,0.11541
47568210020.9338,180,"Congo, Dem. Rep. of the",2406578259.732,1519138286.332,2406578259.732,1519138286.332,1324.783613744325,102442.54265876519,44227183.83669093,42940364.283175714,38705914.00373606,36605105.45273568,44227183.83669093,49033641.86742232,61113552.73614386,63790945.21540961,100.0,100.0,0.0,6093277.584246606,22407638.7324078,27185839.76267393,0.09298,0.09027,0.08137,0.07695,0.09298,0.10308,0.12848,0.1341,0.0,0.01281,0.04711,0.05715
62420164964.6987,188,Costa Rica,7617994004.717999,9612751161.538,7617994004.717999,9612751161.538,4224.41021804709,325706.5362972913,170603729.8274502,164037706.546934,148831383.36771685,142502193.36712912,170603729.8274502,187728869.06866404,243799650.66638196,256812282.18225086,100.0,100.0,0.0,23691162.521730036,94968267.2986651,114310088.81512174,0.27332,0.2628,0.23843,0.2283,0.27332,0.30075,0.39058,0.41143,0.0,0.03795,0.15214,0.18313
61330483609.8835,191,Croatia,7175234913.029,5926235990.692,7175234913.029,5926235990.692,1138.4589148246278,87475.55770026194,55730130.47059686,53814438.83950492,48548333.3573696,46801240.32050703,55730130.47059686,59702758.52616237,72050288.14221485,76061708.30780646,100.0,100.0,0.0,5888319.686657451,23501954.784845248,29260467.987299435,0.09087,0.08775,0.07916,0.07631,0.09087,0.09735,0.11748,0.12402,0.0,0.0096,0.03832,0.04771
25597301190.678,196,Cyprus,5108835524.55,4850936557.832,5108835524.55,4850936557.832001,1407.0885065634116,108393.74045808688,58984725.053025015,56292007.70003863,51249824.03992135,50196797.88351321,58984725.053025015,63217256.84683516,78209313.02680367,83387046.14627285,100.0,100.0,0.0,6925249.146796532,26959488.98688232,33190248.26275964,0.23043,0.21991,0.20022,0.1961,0.23043,0.24697,0.30554,0.32576,0.0,0.02705,0.10532,0.12966
249000540729.179,203,Czechia,24115880417.494,50700949927.051,24115880417.494,50700949927.051,3353.430217571355,255751.02472585684,130328871.95598556,123463357.52678837,117131301.60279103,112262512.2476376,130328871.95598556,141949226.0365131,183140076.03246146,191389063.13815838,100.0,100.0,0.0,18485868.50972472,66008774.42967044,79126550.89052078,0.05234,0.04958,0.04704,0.04509,0.05234,0.05701,0.07355,0.07686,0.0,0.00742,0.02651,0.03178
14262408079.7005,204,Benin,2268802854.0230002,919370215.104,2268802854.0230002,919370215.104,1433.8612346262612,110821.71429090129,65610395.71257207,66340701.52565975,55731797.49373892,55069636.45777981,65610395.71257207,75131056.54397604,87659980.4068655,93181790.42526557,100.0,100.0,0.0,8790355.018316291,31928182.913126588,38112153.967485756,0.46002,0.46514,0.39076,0.38612,0.46002,0.52678,0.61462,0.65334,0.0,0.06163,0.22386,0.26722
